source,target,rel,type
24482,4826,0,ipv6
24482,4637,0,ipv6
24482,31133,0,ipv6
24482,20485,0,ipv6
24482,8529,0,ipv6
24482,37100,0,ipv6
24482,29076,0,ipv6
24482,8220,0,ipv6
24482,61568,0,ipv6
24482,7195,0,ipv6
24482,53062,0,ipv6
24482,20495,0,ipv6
24482,13786,0,ipv6
24482,35598,0,ipv6
24482,58453,0,ipv6
24482,58717,0,ipv6
24482,262589,0,ipv6
24482,64049,0,ipv6
24482,22356,0,ipv6
24482,15412,0,ipv6
24482,52468,0,ipv6
24482,264409,0,ipv6
24482,8359,0,ipv6
24482,14840,0,ipv6
24482,4230,0,ipv6
24482,7545,0,ipv6
24482,37468,0,ipv6
24482,3216,0,ipv6
24482,6939,0,ipv6
24482,132602,0,ipv6
24482,9583,0,ipv6
24482,16735,0,ipv6
24482,61832,0,ipv6
24482,9304,0,ipv6
24482,13335,0,ipv6
24482,9498,0,ipv6
24482,28917,0,ipv6
24482,267613,0,ipv6
24482,15830,0,ipv6
24482,20764,0,ipv6
24482,7713,0,ipv6
24482,1031,0,ipv6
24482,23764,0,ipv6
24482,4455,0,ipv6
24482,5405,0,ipv6
24482,12389,0,ipv6
24482,33891,0,ipv6
24482,6461,0,ipv6
2914,7922,0,ipv6
2914,4766,0,ipv6
